elector_id,gc_id,ch_id,cs_id,name_clean,name_clean_ascii,dob,date_cardinal,country,ideology_score,cs_total_score
60,60,78,,robert waltercardinalmcelroy,robert waltercardinalmcelroy,1954-02-05,2022-08-27,Columbia,,
61,61,34,,angelocardinalde donatis,angelocardinalde donatis,1954-01-04,2018-06-28,,,
62,62,76,,reinhardcardinalmarx,reinhardcardinalmarx,1953-09-21,2010-11-20,,,
63,63,40,,willem jacobuscardinaleijk,willem jacobuscardinaleijk,1953-06-22,2012-02-18,,,
64,64,45,,filipe neri antónio sebastião do rosáriocardinalferrão,filipe neri antonio sebastiao do rosariocardinalferrao,1953-01-20,2022-08-27,,,
65,65,41,,pétercardinalerdő,petercardinalerdo,1952-06-25,2003-10-21,,,
66,66,13,,vicentecardinalbokalic iglic,vicentecardinalbokalic iglic,1952-06-11,2024-12-07,,,
67,67,68,,cristóbalcardinallópez romero,cristobalcardinallopez romero,1952-05-19,2019-10-05,,,
68,68,126,,joseph williamcardinaltobin,joseph williamcardinaltobin,1952-05-03,2016-11-19,,,
69,69,0,,jose lazaro fuertecardinaladvincula jr.,jose lazaro fuertecardinaladvincula jr.,1952-03-30,2020-11-28,,,
70,70,72,,dominique françois josephcardinalmamberti,dominique francois josephcardinalmamberti,1952-03-07,2015-02-14,,,
71,71,132,,lazzarocardinalyou heung-sik,lazzarocardinalyou heung-sik,1951-11-17,2022-08-27,,,
72,72,47,,sebastiancardinalfrancis,sebastiancardinalfrancis,1951-11-11,2023-09-30,,,
73,73,74,,adalbertocardinalmartínez flores,adalbertocardinalmartinez flores,1951-07-08,2022-08-27,,,
74,74,120,,leonardo ulrichcardinalsteiner,leonardo ulrichcardinalsteiner,1950-11-06,2022-08-27,,,
75,75,8,,philippe xavier christian ignace mariecardinalbarbarin,philippe xavier christian ignace mariecardinalbarbarin,1950-10-17,2003-10-21,,,
76,76,22,,oscarcardinalcantoni,oscarcardinalcantoni,1950-09-01,2022-08-27,,,
77,77,122,,ignatiuscardinalsuharyo hardjoatmodjo,ignatiuscardinalsuharyo hardjoatmodjo,1950-07-09,2019-10-05,,,
78,78,124,,orani joãocardinaltempesta,orani joaocardinaltempesta,1950-06-23,2014-02-22,,,
79,79,59,,kurtcardinalkoch,kurtcardinalkoch,1950-03-15,2010-11-20,,,
80,80,108,,arthurcardinalroche,arthurcardinalroche,1950-03-06,2022-08-27,,,
81,81,23,,carlos gustavocardinalcastillo mattasoglio,carlos gustavocardinalcastillo mattasoglio,1950-02-28,2024-12-07,,,
82,82,39,,timothy michaelcardinaldolan,timothy michaelcardinaldolan,1950-02-06,2012-02-18,,,
83,83,86,,kazimierzcardinalnycz,kazimierzcardinalnycz,1950-02-01,2010-11-20,,,
84,84,1,,carloscardinalaguiar retes,carloscardinalaguiar retes,1950-01-09,2016-11-19,,,
85,85,48,,arlindocardinalgomes furtado,arlindocardinalgomes furtado,1949-11-15,2015-02-14,,,
86,86,55,,james michaelcardinalharvey,james michaelcardinalharvey,1949-10-20,2012-11-24,,,
87,87,4,,anderscardinalarborelius,anderscardinalarborelius,1949-09-24,2017-06-28,,,
88,88,116,,odilo pedrocardinalscherer,odilo pedrocardinalscherer,1949-09-21,2007-11-24,,,
89,89,61,,francis xavier kriengsakcardinalkovithavanij,francis xavier kriengsakcardinalkovithavanij,1949-06-27,2015-02-14,,,
90,90,37,,daniel nicholascardinaldinardo,daniel nicholascardinaldinardo,1949-05-23,2007-11-24,,,
91,91,14,,josipcardinalbozanić,josipcardinalbozanic,1949-03-20,2003-10-21,,,
92,92,31,,blase josephcardinalcupich,blase josephcardinalcupich,1949-03-19,2016-11-19,,,
93,93,15,,leopoldo josécardinalbrenes solórzano,leopoldo josecardinalbrenes solorzano,1949-03-07,2014-02-22,,,
94,94,69,,thomas aquino manyocardinalmaeda,thomas aquino manyocardinalmaeda,1949-03-03,2018-06-28,,,
95,95,106,,josé franciscocardinalrobles ortega,jose franciscocardinalrobles ortega,1949-03-02,2007-11-24,,,
96,96,12,,charles maungcardinalbo,charles maungcardinalbo,1948-10-29,2015-02-14,,,
97,97,129,,peter kodwo appiahcardinalturkson,peter kodwo appiahcardinalturkson,1948-10-11,2003-10-21,,,
98,98,94,,giuseppecardinalpetrocchi,giuseppecardinalpetrocchi,1948-08-19,2018-06-28,,,
99,99,26,,manuel josécardinalmacário do nascimento clemente,manuel josecardinalmacario do nascimento clemente,1948-07-16,2015-02-14,,,
100,100,118,,berhaneyesus demerewcardinalsouraphiel,berhaneyesus demerewcardinalsouraphiel,1948-07-14,2015-02-14,,,
101,101,50,,juan de la caridadcardinalgarcía rodríguez,juan de la caridadcardinalgarcia rodriguez,1948-07-11,2019-10-05,,,
102,102,115,,robertcardinalsarah,robertcardinalsarah,1945-06-15,2010-11-20,,,
103,103,17,,raymond leocardinalburke,raymond leocardinalburke,1948-06-30,2010-11-20,,,
104,104,36,,john atcherleycardinaldew,john atcherleycardinaldew,1948-05-05,2015-02-14,,,
105,105,82,,gerhard ludwigcardinalmüller,gerhard ludwigcardinalmuller,1947-12-31,2014-02-22,,,
106,106,117,,marcellocardinalsemeraro,marcellocardinalsemeraro,1947-12-22,2020-11-28,,,
107,107,53,,wilton danielcardinalgregory,wilton danielcardinalgregory,1947-12-07,2020-11-28,Columbia,,
108,108,97,,mario aureliocardinalpoli,mario aureliocardinalpoli,1947-11-29,2014-02-22,,,
109,109,93,,albert malcolm ranjithcardinalpatabendige don,albert malcolm ranjithcardinalpatabendige don,1947-11-15,2010-11-20,,,
110,110,42,,kevin josephcardinalfarrell,kevin josephcardinalfarrell,1947-09-02,2016-11-19,,,
111,111,102,,alvaro leonelcardinalramazzini imeri,alvaro leonelcardinalramazzini imeri,1947-07-16,2019-10-05,,,
112,112,35,,jozefcardinalde kesel,jozefcardinalde kesel,1947-06-17,2016-11-19,,,
113,113,75,,antónio augustocardinaldos santos marto,antonio augustocardinaldos santos marto,1947-05-05,2018-06-28,,,
114,114,6,,joãocardinalbráz de aviz,joaocardinalbraz de aviz,1947-04-24,2012-02-18,,,
115,115,11,,giuseppecardinalbetori,giuseppecardinalbetori,1947-02-25,2012-02-18,,,
116,116,128,,emil paulcardinaltscherrig,emil paulcardinaltscherrig,1947-02-03,2023-09-30,,,
117,117,28,,thomas christophercardinalcollins,thomas christophercardinalcollins,1947-01-16,2012-02-18,,,
118,118,32,,michael f.cardinalczerny,michael f.cardinalczerny,1946-07-18,2019-10-05,,,
119,119,80,,francescocardinalmontenegro,francescocardinalmontenegro,1946-05-22,2015-02-14,,,
120,120,89,,juan josécardinalomella omella,juan josecardinalomella omella,1946-04-21,2017-06-28,,,
121,121,46,,fernandocardinalfiloni,fernandocardinalfiloni,1946-04-15,2012-02-18,,,
122,122,95,,christophe louis yves georgescardinalpierre,christophe louis yves georgescardinalpierre,1946-01-30,2023-09-30,,,
123,123,133,,mariocardinalzenari,mariocardinalzenari,1946-01-05,2016-11-19,,,
124,124,85,,johncardinalnjue,johncardinalnjue,1946-01-01,2007-11-24,,,
125,125,91,,philippe nakellentubacardinalouédraogo,philippe nakellentubacardinalouedraogo,1945-12-31,2014-02-22,,,
126,126,63,,jean-pierrecardinalkutwa,jean-pierrecardinalkutwa,1945-12-22,2014-02-22,,,
127,127,84,,vincent gerardcardinalnichols,vincent gerardcardinalnichols,1945-11-08,2014-02-22,,,
128,128,21,,antoniocardinalcañizares llovera,antoniocardinalcanizares llovera,1945-10-15,2006-03-24,,,
129,129,100,,vinkocardinalpuljić,vinkocardinalpuljic,1945-09-08,1994-11-26,,,
130,130,101,,timothy peter josephcardinalradcliffe,timothy peter josephcardinalradcliffe,1945-08-22,2024-12-07,,,
131,131,30,,josephcardinalcoutts,josephcardinalcoutts,1945-07-21,2018-06-28,,,
132,132,112,,stanisławcardinalryłko,stanislawcardinalrylko,1945-07-04,2007-11-24,,,
133,133,115,,robertcardinalsarah,robertcardinalsarah,1945-06-15,2010-11-20,,,
134,134,90,,carloscardinalosoro sierra,carloscardinalosoro sierra,1945-05-16,2016-11-19,,,
