name,birthdate,age,ch_elevated_date,ch_title,ProfileLink,gc_raw_description
"De Donatis, Angelo",1954-01-04,71,,,,"De Donatis, Angelo(71),Cardinal-PriestofS. MarcoandMajor PenitentiaryofApostolic Penitentiary"
"De Kesel, Jozef",1947-06-17,77,,,,"De Kesel, Jozef(77),Cardinal-PriestofSs. Giovanni e PaoloandMilitary Ordinaryemeritus ofBelgium(Belgium)"
"DemerewSouraphiel, Berhaneyesus",1948-07-14,76,,"Archbishop ofAddis Abeba (Ethiopian),Ethiopia",https://www.catholic-hierarchy.org/bishop/bsou.html,
"Dew, John",1948-05-05,76,,,,"Dew, John Atcherley(76),Cardinal-PriestofS. IppolitoandMilitary Ordinaryemeritus ofNew Zealand(New Zealand)"
"DiNardo, Daniel",1949-05-23,75,,,,"DiNardo, Daniel Nicholas(75),Cardinal-PriestofS. EusebioandMetropolitan Archbishopemeritus ofGalveston–Houston(USA)"
"Dogbo, IgnaceBessi",1961-08-17,63,,"Archbishop ofAbidjan,Côte d’Ivoire",https://www.catholic-hierarchy.org/bishop/bbessi.html,
"Dolan, Timothy",1950-02-06,75,,,,"Dolan, Timothy Michael(75),Cardinal-PriestofNostra Signora di Guadalupe a Monte MarioandMetropolitan ArchbishopofNew York(USA)"
"Don, Albert",1947-11-15,77,,"Archbishop ofColombo,Sri Lanka",https://www.catholic-hierarchy.org/bishop/branjith.html,
"Donatis, AngeloDe",1954-01-04,71,,Major Penitentiary of theApostolic Penitentiary,https://www.catholic-hierarchy.org/bishop/bddonatis.html,
"EbereOkpaleke, Peter",1963-03-01,62,,"Bishop ofEkwulobia,Nigeria",https://www.catholic-hierarchy.org/bishop/bokpal.html,
"Eijk, Willem",1953-06-22,71,,,,"Eijk, Willem Jacobus(71),Cardinal-PriestofS. CallistoandMetropolitan ArchbishopofUtrecht(Netherlands)"
"Erdő, Péter",1952-06-25,72,,,,"Erdő, Péter(72),Cardinal-PriestofS. Maria Nuova,Metropolitan ArchbishopofEsztergom–Budapest(Hungary)andMemberofCouncil for the Economy"
"F.Czerny, Michael",1946-07-18,78,,Prefect Emeritus of the Dicastery forPromoting Integral Human Development,https://www.catholic-hierarchy.org/bishop/bczerny.html,
"Farrell, Kevin",1947-09-02,77,,,,"Farrell, Kevin Joseph(77),Cardinal-DeaconofS. Giuliano Martire,PrefectofDicastery for the Laity, Family and Life,PresidentofCommittee for Investments,PresidentofCommission for Confidential Matters,Camerlengo of the Holy Roman ChurchofApostolic Camera,PresidentofSupreme Court of Vatican City StateandBishopemeritus ofDallas(USA)"
"Fernández Artime, Ángel",1960-08-21,64,,,,"Fernández Artime, Ángel,S.D.B.(64),Cardinal-DeaconofS. Maria Ausiliatrice in Via TuscolanaandPro-PrefectofDicastery for Institutes of Consecrated Life and for Societies of Apostolic Life"
"Fernández, Victor",1962-07-18,62,,,,"Fernández, Victor Manuel(62),Cardinal-DeaconofSs. Urbano e Lorenzo a Prima Porta,PrefectofDicastery for the Doctrine of the Faith,PresidentofPontifical Biblical Commission,PresidentofInternational Theological CommissionandMetropolitan Archbishopemeritus ofLa Plata(Argentina)"
"Ferrão, Filipe",1953-01-20,72,,,,"Ferrão, Filipe Neri António Sebastião do Rosário(72),Cardinal-PriestofS. Maria in Via,PatriarchofEast Indies,Metropolitan ArchbishopofGoa and Daman(India),PresidentofConference of Catholic Bishops of IndiaandPresidentofFederation of Asian Bishops’ Conferences"
"Filoni, Fernando",1946-04-15,79,,,,"Filoni, Fernando (斐洛尼)(79),Cardinal-BishopofNostra Signora di Coromoto in S. Giovanni di DioandGrand MasterofEquestrian Order of the Holy Sepulchre of Jerusalem (Knights of the Holy Sepulchre)"
"Flores, AdalbertoMartínez",1951-07-08,73,,"Archbishop ofAsunción,Paraguay",https://www.catholic-hierarchy.org/bishop/bmarflo.html,
"Francis, Sebastian",1951-11-11,73,,,,"Francis, Sebastian (施恩天)(73),Cardinal-PriestofS. Maria Causa Nostræ LætitiæandBishopofPenang(Malaysia)"
"FrancisPrevost, Robert",1955-09-14,69,,Prefect Emeritus of the Dicastery forBishops,https://www.catholic-hierarchy.org/bishop/bprevost.html,
"FuerteAdvincula, Jose",1952-03-30,73,,"Archbishop ofManila,Philippines",https://www.catholic-hierarchy.org/bishop/badvi.html,
"Furtado, ArlindoGomes",1949-11-15,75,,Bishop ofSantiago de Cabo Verde,https://www.catholic-hierarchy.org/bishop/bgofu.html,
"Gambetti, Mauro",1965-10-27,59,,,,"Gambetti, Mauro,O.F.M. Conv.(59),Cardinal-DeaconofSS. Nome di Maria al Foro Traiano,PresidentofFabric of Saint Peter,ArchpriestofPapal Basilica of Saint PeterandVicar General for the Vatican City StateofRoma(Italy)"
"García Rodríguez, Juan",1948-07-11,76,,,,"García Rodríguez, Juan de la Caridad(76),Cardinal-PriestofSs. Aquila e PriscillaandMetropolitan ArchbishopofLa Habana(Cuba)"
"Garib, Fernando",1957-03-10,68,,Archbishop ofSantiago de Chile,https://www.catholic-hierarchy.org/bishop/bchga.html,
"GeorgesPierre, Christophe",1946-01-30,79,,Apostolic Nuncio toUnited States of America,https://www.catholic-hierarchy.org/bishop/bpierre.html,
"GerardNichols, Vincent",1945-11-08,79,,"Archbishop ofWestminster, England,Great Britain",https://www.catholic-hierarchy.org/bishop/bnichols.html,
"Goh Seng Chye, William",1957-06-25,67,,,,"Goh Seng Chye, William (吳成才)(67),Cardinal-PriestofS. Maria «Regina Pacis» in Ostia mare,ArchbishopofSingapore(Singapore)andVice-PresidentofCatholic Bishops’ Conference of Malaysia, Singapore and Brunei"
"GokimTagle, Luis",1957-06-21,67,,Pro-Prefect Emeritus of the Dicastery forEvangelization,https://www.catholic-hierarchy.org/bishop/btaglelag.html,
"Gomes Furtado, Arlindo",1949-11-15,75,,,,"Gomes Furtado, Arlindo(75),Cardinal-PriestofS. TimoteoandBishopofSantiago de Cabo Verde(Cabo Verde)"
"Grech, Mario",1957-02-20,68,,,,"Grech, Mario(68),Cardinal-DeaconofSs. Cosma e Damiano,Secretary GeneralofGeneral Secretariat of the SynodandBishopemeritus ofGozo(Malta)"
"Gregory, Wilton",1947-12-07,77,,,,"Gregory, Wilton Daniel(77),Cardinal-PriestofImmacolata Concezione di Maria a GrottarossaandMetropolitan Archbishopemeritus ofWashington(USA)"
"Gugerotti, Claudio",1955-10-07,69,,,,"Gugerotti, Claudio(69),Cardinal-DeaconofS. Ambrogio della Massima,PrefectofDicastery for the Eastern Churches,MemberofCouncil of the Section for Relations with States and International OrganisationsandGrand ChancellorofPontifical Oriental Institute"
"Hardjoatmodjo, IgnatiusSuharyo",1950-07-09,74,,"Archbishop ofJakarta,Indonesia",https://www.catholic-hierarchy.org/bishop/bsuharyo.html,
"Harvey, James",1949-10-20,75,,,,"Harvey, James Michael(75),Cardinal-PriestofS. Pio V a Villa Carpegnapro hac viceTitleandArchpriestofPapal Basilica of Saint Paul Outside-the-Walls"
"Herrera, Luis",1955-10-11,69,,"Archbishop ofGuayaquil,Ecuador",https://www.catholic-hierarchy.org/bishop/bcahe.html,
"Heung-sik, LazzaroYou",1951-11-17,73,,Prefect Emeritus of the Dicastery for theClergy,https://www.catholic-hierarchy.org/bishop/byouh.html,
"Hollerich, Jean",1958-08-09,66,,,,"Hollerich, Jean-Claude,S.J.(66),Cardinal-PriestofS. Giovanni Crisostomo a Monte Sacro Alto,ArchbishopofLuxembourg(Luxembourg),MemberofCouncil of CardinalsandVice-PresidentofCouncil of European Bishops’ Conferences"
"ISako, Louis",1949-07-04,75,,"Patriarch ofBaghdad (Chaldean),Iraq",https://www.catholic-hierarchy.org/bishop/bsako.html,
"Iglic, VicenteBokalic",1952-06-11,72,,"Archbishop ofSantiago del Estero,Argentina",https://www.catholic-hierarchy.org/bishop/bbokalic.html,
"Imeri, Alvaro",1947-07-16,77,,"Bishop ofHuehuetenango,Guatemala",https://www.catholic-hierarchy.org/bishop/bramaa.html,
"IsaoKikuchi, Tarcisio",1958-11-01,66,,"Archbishop ofTōkyō,Japan",https://www.catholic-hierarchy.org/bishop/bkiku.html,
"JacobKoovakad, George",1973-08-11,51,,Prefect Emeritus of the Dicastery forInterreligious Dialogue,https://www.catholic-hierarchy.org/bishop/bkoov.html,
"JacobusEijk, Willem",1953-06-22,71,,"Archbishop ofUtrecht,Netherlands",https://www.catholic-hierarchy.org/bishop/beijk.html,
"JosephCupich, Blase",1949-03-19,76,,"Archbishop ofChicago, Illinois,USA",https://www.catholic-hierarchy.org/bishop/bcupich.html,
"JosephFarrell, Kevin",1947-09-02,77,,Chamberlain (Camerlengo) of theApostolic Chamber,https://www.catholic-hierarchy.org/bishop/bfarrellk.html,
"JosephMamberti, Dominique",1952-03-07,73,,Prefect Emeritus of theApostolic Signatura,https://www.catholic-hierarchy.org/bishop/bmamberti.html,
"JosephMathieu, Dominique",1963-06-13,61,,"Archbishop ofTeheran-Ispahan,Iran",https://www.catholic-hierarchy.org/bishop/bmathieud.html,
"JosephRadcliffe, Timothy",1945-08-22,79,,Cardinal-Deacon ofSantissimi Nomi di Gesù e Maria in Via Lata,https://www.catholic-hierarchy.org/bishop/bradcli.html,
"JoãoTempesta, Orani",1950-06-23,74,,"Archbishop ofSão Sebastião do Rio de Janeiro,Brazil",https://www.catholic-hierarchy.org/bishop/btempesta.html,
"Kambanda, Antoine",1958-11-10,66,,,,"Kambanda, Antoine(66),Cardinal-PriestofS. Sisto,Metropolitan ArchbishopofKigali(Rwanda)andPresidentofEpiscopal Conference of Rwanda"
"Kesel, JozefDe",1947-06-17,77,,"Archbishop Emeritus ofMechelen-Brussel {Malines-Brussels},Belgium",https://www.catholic-hierarchy.org/bishop/bdekesel.html,
"Kikuchi, Tarcisius",1958-11-01,66,,,,"Kikuchi, Tarcisius Isao,S.V.D.(タルチシオ 菊地 功)(66),Cardinal-PriestofS. Giovanni Leonardi,Metropolitan ArchbishopofTokyo 東京(Japan),PresidentofCaritas Internationalis,PresidentofCatholic Bishops’ Conference of JapanandGeneral SecretaryofFederation of Asian Bishops’ Conferences"
"Koch, Kurt",1950-03-15,75,,,,"Koch, Kurt(75),Cardinal-PriestofNostra Signora del Sacro Cuorepro hac viceTitle,PrefectofDicastery for Promoting Christian Unity,PresidentofCommission for Religious Relations with the JewsandBishopemeritus ofBasel(Switzerland)"
"Koovakad, George",1973-08-11,51,,,,"Koovakad, George Jacob(51)(Syro-Malabar Rite),Cardinal-DeaconofS. Antonio di Padova a Circonvallazione AppiaandPrefectofDicastery for Interreligious Dialogue"
"Kovithavanij, Francis",1949-06-27,75,,,,"Kovithavanij, Francis Xavier Kriengsak(75),Cardinal-PriestofS. Maria AddolorataandMetropolitan Archbishopemeritus ofBangkok(Thailand)"
"Krajewski, Konrad",1963-11-25,61,,,,"Krajewski, Konrad(61),Cardinal-DeaconofS. Maria Immacolata all’Esquilino,Almoner of His HolinessofDicastery for the Service of CharityandMemberofCommission of Cardinals overseeing the Institute for Works of Religion"
"KriengsakKovithavanij, Francis",1949-06-27,75,,"Archbishop Emeritus ofBangkok,Thailand",https://www.catholic-hierarchy.org/bishop/bkrko.html,
"Kutwa, Jean",1945-12-22,79,,,,"Kutwa, Jean-Pierre(79),Cardinal-PriestofS. Emerenziana a Tor Fiorenza,Apostolic Administratorsede plenaofMan(Cote d’Ivoire)andMetropolitan Archbishopemeritus ofAbidjan(Cote d’Ivoire)"
"Lacroix, Gérald",1957-07-27,67,,,,"Lacroix, Gérald Cyprien,I.S.P.X.(67),Cardinal-PriestofS. Giuseppe all’Aurelio,Metropolitan ArchbishopofQuébec(Canada),MemberofCouncil for the EconomyandMemberofCouncil of Cardinals"
"Langlois, Chibly",1958-11-29,66,,,,"Langlois, Chibly(66),Cardinal-PriestofS. Giacomo in AugustaandBishopofLes Cayes(Haiti)"
"Leo, Frank",1971-06-30,53,,,,"Leo, Frank(53),Cardinal-PriestofS. Maria della Salute a PrimavalleandMetropolitan ArchbishopofToronto(Canada)"
"LeoBurke, Raymond",1948-06-30,76,,Prefect Emeritus of theApostolic Signatura,https://www.catholic-hierarchy.org/bishop/bburke.html,
"Llovera, AntonioCañizares",1945-10-15,79,,"Archbishop Emeritus ofValencia,Spain",https://www.catholic-hierarchy.org/bishop/bcaniz.html,
"Lojudice, Augusto",1964-07-01,60,,,,"Lojudice, Augusto Paolo(60),Cardinal-PriestofS. Maria del Buon Consiglio,Metropolitan ArchbishopofSiena–Colle di Val d’Elsa–Montalcino(Italy)andBishopofMontepulciano–Chiusi–Pienza(Italy)"
"LudwigMüller, Gerhard",1947-12-31,77,,Prefect Emeritus of the Congregation for theDoctrine of the Faith,https://www.catholic-hierarchy.org/bishop/bmullergl.html,
"López Romero, Cristóbal",1952-05-19,72,,,,"López Romero, Cristóbal,S.D.B.(72),Cardinal-PriestofS. Leone IandArchbishopofRabat(Morocco)"
"Macário do Nascimento Clemente, Manuel",1948-07-16,76,,,,"Macário do Nascimento Clemente, Manuel José(76),Cardinal-PriestofS. Antonio in Campo MarzioandPatriarchemeritus ofLisboa(Portugal)"
"Maeda, Thomas",1949-03-03,76,,,,"Maeda, Thomas Aquino Manyo (トマス・アクィナス 前田万葉)(76),Cardinal-PriestofS. PudenzianaandMetropolitan ArchbishopofOsaka–Takamatsu 大阪高松(Japan)"
"Mafi, Soane",1961-12-19,63,,,,"Mafi, Soane Patita Paini(63),Cardinal-PriestofS. Paola RomanaandBishopofTonga(Tonga)"
"Makrickas, Rolandas",1972-01-31,53,,,,"Makrickas, Rolandas(53),Cardinal-DeaconofS. EustachioandCoadjutor ArchpriestofPapal Basilica of Saint Mary Major"
"Mamberti, Dominique",1952-03-07,73,,,,"Mamberti, Dominique François Joseph(73),Cardinal-DeaconofS. Spirito in Sassia,PrefectofSupreme Tribunal of the Apostolic Signatura,PresidentofCommission for AdvocatesandProtodeaconofCollege of Cardinals"
"ManuelFernández, Victor",1962-07-18,62,,Prefect Emeritus of the Dicastery for theDoctrine of the Faith,https://www.catholic-hierarchy.org/bishop/bfernvm.html,
"ManyoMaeda, Thomas",1949-03-03,76,,"Archbishop ofOsaka-Takamatsu,Japan",https://www.catholic-hierarchy.org/bishop/bmaeda.html,
"Marengo, Giorgio",1974-06-07,50,,,,"Marengo, Giorgio,I.M.C.(50),Cardinal-PriestofS. Giuda Taddeo ApostoloandPrefect ApostolicofUlaanbaatar(Mongolia)"
"MariaGambetti, Mauro",1965-10-27,59,,President of theFabric of St. Peter,https://www.catholic-hierarchy.org/bishop/bgambetti.html,
"MariaWoelki, Rainer",1956-08-18,68,,"Archbishop ofKöln {Cologne},Germany",https://www.catholic-hierarchy.org/bishop/bwoel.html,
"MariaZuppi, Matteo",1955-10-11,69,,"Archbishop ofBologna,Italy",https://www.catholic-hierarchy.org/bishop/bzuppi.html,
"MarieBarbarin, Philippe",1950-10-17,74,,"Archbishop Emeritus ofLyon,France",https://www.catholic-hierarchy.org/bishop/bbarbarin.html,
"MartinMulla, Stephen",1964-01-10,61,,"Archbishop ofJuba,South Sudan",https://www.catholic-hierarchy.org/bishop/bamm.html,
"Marto, António",1947-05-05,77,,"Bishop Emeritus ofLeiria-Fátima,Portugal",https://www.catholic-hierarchy.org/bishop/bdsm.html,
"Martínez Flores, Adalberto",1951-07-08,73,,,,"Martínez Flores, Adalberto(73),Cardinal-PriestofS. Giovanni a Porta Latina,Metropolitan ArchbishopofAsunción(Paraguay)andApostolic Administrator of the Military OrdinariateofParaguay(Paraguay)"
"Marx, Reinhard",1953-09-21,71,,,,"Marx, Reinhard(71),Cardinal-PriestofS. Corbiniano,Metropolitan ArchbishopofMünchen und Freising(Germany)andCoordinatorofCouncil for the Economy"
"Mathieu, Dominique",1963-06-13,61,,,,"Mathieu, Dominique Joseph,O.F.M. Conv.(61),Cardinal-PriestofS. Giovanna Antida Thouret,ArchbishopofTehran–Isfahan(Iran)andPresidentofIranian Episcopal Conference"
"Mattasoglio, Carlos",1950-02-28,75,,"Archbishop ofLima,Peru",https://www.catholic-hierarchy.org/bishop/bcasmat.html,
"MaungBo, Charles",1948-10-29,76,,"Archbishop ofYangon,Myanmar",https://www.catholic-hierarchy.org/bishop/bbocm.html,
"McElroy, Robert",1954-02-05,71,,,,"McElroy, Robert Walter(71),Cardinal-PriestofS. Frumenzio ai Prati FiscaliandMetropolitan ArchbishopofWashington(USA)"
"Mendonça, José",1965-12-15,59,,Prefect Emeritus of the Dicastery forCulture and Education,https://www.catholic-hierarchy.org/bishop/bmendjtc.html,
"MichaelDolan, Timothy",1950-02-06,75,,"Archbishop ofNew York, New York,USA",https://www.catholic-hierarchy.org/bishop/bdolan.html,
"MichaelHarvey, James",1949-10-20,75,,Archpriest of theBasilica di San Paolo fuori le Mura {Saint Paul Outside-the-Walls Basilica},https://www.catholic-hierarchy.org/bishop/bharveyjm.html,
"Montenegro, Francesco",1946-05-22,78,,,,"Montenegro, Francesco(78),Cardinal-PriestofSs. Andrea e Gregorio al Monte Celio,Apostolic AdministratorofPiana degli Albanesiof theItalo-Albanese(Italy)andMetropolitan Archbishopemeritus ofAgrigento(Italy)"
"Mulla, Stephen",1964-01-10,61,,,,"Mulla, Stephen Ameyu Martin(61),Cardinal-PriestofS. Gemma Galgani,Metropolitan ArchbishopofJuba(South Sudan)andPresidentofConference of Bishops of Sudan and South Sudan"
"Müller, Gerhard",1947-12-31,77,,,,"Müller, Gerhard Ludwig(77),Cardinal-PriestofS. Agnese in Agonepro hac viceTitle,Bishopemeritus ofRegensburg(Germany),Prefectemeritus ofCongregation for the Doctrine of the Faith,Presidentemeritus ofPontifical Commission “Ecclesia Dei”,Presidentemeritus ofPontifical Biblical CommissionandformerPresidentofInternational Theological Commission"
